CASEID,W1_CASEID,W2_CASEID2,W1_F3,W1_F4_B,W1_F4_D,W1_F5_A,W1_F6,PPAGECAT,PPGENDER,PPMARIT,PPINCIMP,PPETHM
245,255,95,3,1,1,1,5,5,2,3,8,2
246,256,311,2,3,3,4,9,6,2,3,15,1
247,257,1195,5,1,1,1,4,3,2,1,12,1
248,258, ,1,2,2,2,8,3,1,1,15,2
249,259, ,1,1,1,1,1,1,2,6,4,2
250,260, ,5,2,1,2,8,7,1,1,11,1
251,262,716,3,3,1,2,7,5,2,1,13,1
252,263,203,5,1,1,2,9,7,2,2,13,1
253,264, ,2,2,2,4,1,7,2,2,5,2
254,265,394,2,3,2,1,8,1,2,5,3,2
255,266, ,7,1,1,1,10,1,2,5,8,2
256,267,1288,5,2,2,2,3,2,1,5,17,1
257,268,1050,7,2,2,3,7,5,1,1,13,2
258,269,728,2,2,1,3,5,4,2,6,11,2
259,270, ,2,1,1,2,5,2,2,6,7,2
260,271, ,4,-1,2,3,6,3,2,3,1,4
261,272, ,2,3,3,4,6,1,1,5,13,1
262,273, ,1,1,1,3,7,3,2,4,14,1
263,274,280,1,2,2,3,8,3,1,1,16,1
264,275,64,1,1,2,2,1,6,2,1,7,2
265,276,429,-1,-1,-1,-1,-1,1,1,5,1,2
266,277,1120,5,1,1,3,8,5,2,1,17,1
267,278,6,5,2,2,2,8,6,2,2,14,2
268,279,479,5,2,1,2,6,7,1,1,13,2
269,280,1080,1,4,4,1,8,5,1,6,10,2
270,281,1456,6,3,2,2,10,5,1,6,19,1
271,282,305,2,2,1,3,4,5,2,3,17,1
272,283,576,1,3,3,3,10,5,2,1,13,2
273,284,30,1,2,2,1,7,6,2,1,8,1
274,285,838,3,2,1,1,5,5,2,5,11,1
275,286, ,7,2,1,2,9,2,1,5,8,1
276,287,431,2,2,1,3,6,6,2,2,4,2
277,288,656,2,3,2,4,10,6,1,1,13,1
278,289,478,6,2,2,3,8,5,2,1,13,1
279,290,343,3,1,2,2,4,5,2,3,6,2
280,291,1154,3,2,-1,-1,6,3,1,3,13,1
281,292,357,6,2,1,1,10,5,1,1,13,2
282,293,360,3,3,3,1,4,4,1,6,12,4
283,294,1019,-1,-1,-1,-1,-1,1,1,5,12,2
284,296,831,5,2,1,2,6,5,2,5,14,2
285,297,68,1,4,3,3,10,7,2,2,16,4
286,298,730,2,2,2,2,8,4,1,1,18,2
287,299,772,2,2,2,2,8,7,1,1,12,1
288,300,565,2,3,3,3,9,4,1,5,12,2
289,301, ,1,4,3,4,7,2,2,6,4,2
